type,country,date,stat
Inflation Rate (%),US,1987-05-31 00:00:00,3.86
Inflation Rate (%),US,1987-04-30 00:00:00,3.78
Inflation Rate (%),US,1987-03-31 00:00:00,3.03
Inflation Rate (%),US,1987-02-28 00:00:00,2.1
Inflation Rate (%),US,1987-01-31 00:00:00,1.46
Inflation Rate (%),US,1986-12-31 00:00:00,1.1
Inflation Rate (%),US,1986-11-30 00:00:00,1.28
Inflation Rate (%),US,1986-10-31 00:00:00,1.47
Inflation Rate (%),US,1986-09-30 00:00:00,1.75
Inflation Rate (%),US,1986-08-31 00:00:00,1.57
Inflation Rate (%),US,1986-07-31 00:00:00,1.58
Inflation Rate (%),US,1986-06-30 00:00:00,1.77
Inflation Rate (%),US,1986-05-31 00:00:00,1.49
Inflation Rate (%),US,1986-04-30 00:00:00,1.59
Inflation Rate (%),US,1986-03-31 00:00:00,2.26
Inflation Rate (%),US,1986-02-28 00:00:00,3.11
Inflation Rate (%),US,1986-01-31 00:00:00,3.89
Inflation Rate (%),US,1985-12-31 00:00:00,3.8
Inflation Rate (%),US,1985-11-30 00:00:00,3.51
Inflation Rate (%),US,1985-10-31 00:00:00,3.23
Inflation Rate (%),US,1985-09-30 00:00:00,3.14
Inflation Rate (%),US,1985-08-31 00:00:00,3.35
Inflation Rate (%),US,1985-07-31 00:00:00,3.55
Inflation Rate (%),US,1985-06-30 00:00:00,3.76
Inflation Rate (%),US,1985-05-31 00:00:00,3.77
Inflation Rate (%),US,1985-04-30 00:00:00,3.69
Inflation Rate (%),US,1985-03-31 00:00:00,3.7
Inflation Rate (%),US,1985-02-28 00:00:00,3.52
Inflation Rate (%),US,1985-01-31 00:00:00,3.53
Inflation Rate (%),US,1984-12-31 00:00:00,3.95
Inflation Rate (%),US,1984-11-30 00:00:00,4.05
Inflation Rate (%),US,1984-10-31 00:00:00,4.26
Inflation Rate (%),US,1984-09-30 00:00:00,4.27
Inflation Rate (%),US,1984-08-31 00:00:00,4.29
Inflation Rate (%),US,1984-07-31 00:00:00,4.2
Inflation Rate (%),US,1984-06-30 00:00:00,4.22
Inflation Rate (%),US,1984-05-31 00:00:00,4.23
Inflation Rate (%),US,1984-04-30 00:00:00,4.56
Inflation Rate (%),US,1984-03-31 00:00:00,4.8
Inflation Rate (%),US,1984-02-29 00:00:00,4.6
Inflation Rate (%),US,1984-01-31 00:00:00,4.19
Inflation Rate (%),US,1983-12-31 00:00:00,3.79
Inflation Rate (%),US,1983-11-30 00:00:00,3.27
Inflation Rate (%),US,1983-10-31 00:00:00,2.85
Inflation Rate (%),US,1983-09-30 00:00:00,2.86
Inflation Rate (%),US,1983-08-31 00:00:00,2.56
Inflation Rate (%),US,1983-07-31 00:00:00,2.46
Inflation Rate (%),US,1983-06-30 00:00:00,2.58
Inflation Rate (%),US,1983-05-31 00:00:00,3.55
Inflation Rate (%),US,1983-04-30 00:00:00,3.9
Inflation Rate (%),US,1983-03-31 00:00:00,3.6
Inflation Rate (%),US,1983-02-28 00:00:00,3.49
Inflation Rate (%),US,1983-01-31 00:00:00,3.71
Inflation Rate (%),US,1982-12-31 00:00:00,3.83
Inflation Rate (%),US,1982-11-30 00:00:00,4.59
Inflation Rate (%),US,1982-10-31 00:00:00,5.14
Inflation Rate (%),US,1982-09-30 00:00:00,5.04
Inflation Rate (%),US,1982-08-31 00:00:00,5.85
Inflation Rate (%),US,1982-07-31 00:00:00,6.44
Inflation Rate (%),US,1982-06-30 00:00:00,7.06
Inflation Rate (%),US,1982-05-31 00:00:00,6.68
Inflation Rate (%),US,1982-04-30 00:00:00,6.51
Inflation Rate (%),US,1982-03-31 00:00:00,6.78
Inflation Rate (%),US,1982-02-28 00:00:00,7.62
Inflation Rate (%),US,1982-01-31 00:00:00,8.39
